2000 1
912908727 909993663
497818433 252740213 1302648
19445396 162424624 2590054
851436472 463371747 1783777
448780678 624458491 4971208
166634776 142202304 398813
423792883 488863734 731781
102458454 906228368 1166147
253414931 17016047 3898905
507413095 373186108 6152395
387522550 183015008 4130841
430872299 433929467 896877
220231072 133836268 3324476
130026528 222624273 7922643
289614585 281558714 2042736
691282167 474617545 5806321
362050932 579209266 1286344
275771716 134038744 5027632
787635385 672751250 3119740
772995306 339092994 7416964
44866303 79369250 2088897
557275178 571808304 7582049
103343109 645483892 3584946
719290886 180612296 4090929
244068145 141132926 892346
394835411 869007893 1291784
819291688 545809311 2087520
757897497 21833635 2458024
235796038 99198427 292240
75376481 249685336 378056
208512781 655475392 6550953
264701431 619709351 2604134
255365169 353735428 4401126
39301230 175614060 3537089
427985966 24286574 7881075
11630481 373298929 6605366
840095499 552647471 6114196
22286076 658456148 6207160
563624953 529053867 2775879
118266843 281900305 7993580
291059165 231494253 6022262
884096465 661460755 5129466
317762580 146492484 4142108
568431754 16876116 3394522
600301633 214723337 3699892
214068418 723795023 3521091
234372190 442418226 717768
749960896 745785080 7052763
687075129 184194967 1798754
466610023 114745657 4314328
558345432 163147334 3551025
870623565 105200856 4986398
90024280 414412306 5450760
796283292 876039798 7732062
178942767 428022155 4763928
771869830 385407755 6469743
783464378 202968687 4239507
176715262 517375108 7916134
633115969 334669912 776809
418966827 651211737 8824463
727186053 326419847 4731301
41267803 735150523 114524
231226083 9212932 2054228
411623375 113370288 9311851
884693926 481977578 9808847
231265578 285914397 4889166
819272215 758441887 1334581
881513896 436228320 7681544
619204207 671584613 7201620
377555499 71636736 2099674
68494801 732595058 7220988
223607778 299149959 55512
358429232 867674342 1578434
659566524 140462703 838971
900507144 205861186 9685655
396592107 782176729 6924949
832790025 858807670 6647645
355409730 201390661 6396408
898990618 895144371 3550243
661385407 548738018 3570136
628027702 753514359 1924484
768040720 131517475 2215540
510089041 849274317 2403176
14640768 819327532 3342051
408251296 760768538 9158982
282871900 48459922 735260
897631840 412971933 9670538
767447640 415181606 1493406
875850999 900878199 1516774
534347365 247653094 3428660
392587309 603402386 1926522
351573978 182159191 2833094
840816224 197029211 320799
679024813 783116941 2410046
381300000 713612252 670905
152707117 850415070 7311088
161317882 824965040 7226344
591340944 71582449 2742083
312445087 851761529 1614572
42266287 709344753 3601922
287959530 516299869 9042272
203387596 823237293 7050728
69217263 685776350 5687473
481273918 663779557 8073702
438903052 108470076 161321
374719504 334249457 10688886
311203795 318371708 682880
49409167 745783606 2741985
458202082 102454723 1712203
344782997 319605394 6411252
230206304 232245864 9506572
634739037 790597291 839069
864632331 85592429 7430555
581207458 444909405 2362144
57542499 534169639 3792588
452311793 700408321 4800500
582710006 905589612 1759208
369640031 725043968 8195525
395718318 644422780 2418149
119820688 409299646 2433127
888872053 714558527 530498
563696274 43391106 9254378
632567161 801261233 2744913
741513843 30064550 7474051
498987450 612777431 5585483
281381652 71835641 6180308
38788193 866919875 1679719
770291757 363698739 9300490
542325324 152617189 7421512
432474976 839879011 2249788
899087186 166488048 1280535
296905904 901542721 3826460
590400000 868171255 1001736
169656597 779921278 1214188
579519748 401455191 7142928
752526249 663775868 7378796
279100074 540830288 7400328
114741783 445811028 5639069
882379587 119280416 4480401
164883646 433806634 2413741
99122018 199307901 8988845
889002528 163814242 5515828
224514058 674672750 1164176
322949980 333840981 9369485
164099703 598378823 2691021
223467543 778048517 2510458
591193875 302438395 5466035
223203103 908137108 845002
722819408 484512813 7630732
569511546 157860463 4312777
702908270 112862748 3292880
331799565 449814355 3091057
77220816 552632780 7095265
275623431 358246902 6595734
292768895 452767331 619309
128157490 467362810 5510782
831074438 377113959 2467473
262122566 62491568 3631980
244547200 209674162 6130573
782727153 53386393 8746462
107096909 484782953 3349777
551008977 479263959 5979924
841802066 134794284 4479177
884406537 811652930 4173827
890264187 680509788 7828641
287495850 828478697 8352794
548679082 215494905 4418453
22151042 275428811 9248283
454733177 501411879 7059658
91562431 472710270 1668865
233377147 496008373 6732464
584842963 42221388 4190576
344135580 106402528 7958973
652645480 532863908 65595
537191105 38552323 9312542
461899775 870062857 6835324
77965413 257124313 1514634
232664694 887947274 3488824
246960907 637824426 7452852
383058207 57730646 7453630
581195206 130636608 2183524
715357679 709856921 8636664
655563879 818658577 1939278
224225221 531477925 7670835
112987658 664506356 5368002
459518445 677000012 793310
584575062 268873593 1686074
690175097 174534231 1006639
370448373 122623481 3002417
351323587 131878107 8989394
575222565 890911493 3985127
831003000 769444271 1761023
332571843 427470551 7415529
82227394 908566193 284070
853930478 686376687 8538708
114704179 350671293 2117928
471208472 316496226 6817184
18271274 890524632 3554994
154651083 469903850 6231408
412196747 82010643 3110853
117259549 198007966 2973103
685763428 658289317 2299302
324126648 755017500 4356440
333643899 23270409 171263
184143950 363417817 965952
84334162 328453519 57042
896787921 804076418 606106
422661227 703078940 6469344
644681555 833443167 4548348
423681043 819160724 6564324
157009909 543275921 580856
389816592 222590049 3173560
418160383 239054255 4217587
793689167 265728984 7033554
646054892 561883482 7038761
779469581 237692546 6501369
482484956 867823239 5904251
488311967 175944666 5921939
369114255 774923763 5188904
662573822 414311666 577333
436282209 94466409 7884964
808659675 23969386 916902
568916030 769066998 2826956
839464182 645443950 7676657
509131011 184772228 2249680
545730552 232490550 6547110
358345778 387914496 8622730
881771927 57990949 2189418
532262314 169325043 3907981
460825197 903987646 3233208
382117726 124801825 335161
59727287 344557101 10101425
564479900 647265905 5057740
631472147 97875189 6716260
759648516 629324560 8288996
764211945 577157990 9602369
52940459 67898735 2457022
755990799 844435034 2829498
744190347 48616661 3025597
325147564 15501372 3487679
673062182 537173119 4836728
489679293 79514388 6048233
6475087 166910104 360703
164230692 23952337 1098710
735572054 241825895 3675559
766894942 452559514 7665852
507604421 481704109 7877350
682245459 798422570 3853754
517659892 417194596 6135377
28889716 511406251 5799228
421194841 578649814 5730629
196419129 352695597 7673876
51628849 783744749 2085510
855600465 526673443 7106447
210727569 469998929 8338848
91110580 338219122 5961067
181353043 769767165 1540735
829224635 254914961 1281491
572070984 674333650 4259148
97913306 770473464 4618863
49356006 621959386 4579382
147428331 356446236 2563751
882296489 174916754 232398
388456314 760038982 6133352
263988677 743540247 461730
897041191 569449437 1528498
200438806 77930873 589594
628097520 854858133 8235655
67462006 855432059 5812445
344861105 163507834 8529910
116282908 515224548 3728013
220234598 94954086 3572261
594707000 119347937 576665
751412760 263494136 5498596
181605834 818399327 9019114
846823286 86774938 4987832
242054508 583221870 6031516
727148194 111070036 2087412
824235683 504174503 4571225
464135324 64328505 7421068
174108743 499858649 5344854
718469084 83028193 8959512
458744935 41083168 6033254
753661251 683180319 2433463
269568973 239665534 2112358
